Match Number,Team Number,Alliance,Position,Winner,Pilot,Gears,Autogear,KPA,AutoKPA,Climb,Penalties
1,4469,Blue,2,1,1,1,1,0,0,1,0
1,1983,Red,1,0,0,3,0,0,0,1,0
1,1111,Blue,3,1,0,3,0,0,0,1,0
1,2222,Red,2,0,1,3,0,0,0,1,0
1,3333,Blue,1,1,1,3,0,0,0,1,0
1,4444,Red,3,0,1,3,0,5,0,1,0
2,4469,Blue,2,0,1,1,1,0,0,1,0
2,1983,Red,1,1,0,3,0,0,0,1,0
2,1111,Blue,3,0,0,3,0,0,0,1,0
2,2222,Red,2,1,1,3,0,0,0,1,0
2,3333,Blue,1,0,1,3,0,0,0,1,0
2,4444,Red,3,1,1,3,0,5,0,1,0
3,4469,Blue,2,1,1,2,1,0,0,1,0
3,1983,Red,1,0,0,3,0,0,0,1,0
3,1111,Blue,3,1,0,3,0,0,0,1,0
3,2222,Red,2,0,1,3,0,0,0,1,0
3,3333,Blue,1,1,1,3,0,0,0,1,0
3,4444,Red,3,0,1,3,0,5,0,1,0
4,4469,Blue,2,1,1,1,1,0,0,1,0
4,1983,Red,1,0,0,3,0,0,0,1,0
4,1111,Blue,3,1,0,3,0,0,0,1,0
4,2222,Red,2,0,1,3,0,0,0,1,0
4,3333,Blue,1,1,1,3,0,0,0,1,0
4,4444,Red,3,0,1,3,0,5,0,1,0
